2024/12/01 14:38:30 INFO  - jmeter.util.JMeterUtils: Setting Locale to es_ES 
2024/12/01 14:38:31 INFO  - jmeter.util.JMeterUtils: Could not find resources for 'es_ES', using 'es' 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: Loading user properties from: /usr/share/jmeter/bin/user.properties 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: Loading system properties from: /usr/share/jmeter/bin/system.properties 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: Version 2.13.20180731 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: java.version=11.0.25 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: java.vm.name=OpenJDK 64-Bit Server VM 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: os.name=Linux 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: os.arch=amd64 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: os.version=5.4.0-200-generic 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: Default Locale=español (España) 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: JMeter  Locale=español (España) 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: JMeterHome=/usr/share/jmeter 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: user.dir  =/home/estudiante/Caso4 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: PWD       =/home/estudiante/Caso4 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: admonsis-vm FullName: admonsis-vm 
2024/12/01 14:38:31 INFO  - jmeter.services.FileServer: Default base='/home/estudiante/Caso4' 
2024/12/01 14:38:31 INFO  - jmeter.services.FileServer: Set new base='/home/estudiante/Caso4' 
2024/12/01 14:38:31 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2024/12/01 14:38:31 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.8 
2024/12/01 14:38:31 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
2024/12/01 14:38:31 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2024/12/01 14:38:31 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2024/12/01 14:38:31 INFO  - jmeter.save.SaveService: Loading file: HTTP.jmx 
2024/12/01 14:38:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2024/12/01 14:38:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2024/12/01 14:38:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2024/12/01 14:38:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2024/12/01 14:38:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2024/12/01 14:38:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: Creating summariser <summary> 
2024/12/01 14:38:31 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2024/12/01 14:38:31 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2024/12/01 14:38:31 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2024/12/01 14:38:31 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2024/12/01 14:38:31 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2024/12/01 14:38:31 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2024/12/01 14:38:31 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2024/12/01 14:38:31 INFO  - jmeter.JMeter: Test lanzado (1733081911564) 
2024/12/01 14:38:31 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2024/12/01 14:38:31 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2024/12/01 14:38:31 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
